Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
BR;;Cubatão-Centro;-23.87902673, -46.41848336;PM10;Sao Paulo CETESB;µg/m³;25;2023-04-04T18:00:00-03:00;Brazil
BR;Araraquara;Araraquara;-21.78252215, -48.18583181;O3;Sao Paulo CETESB;µg/m³;97;2023-04-05T12:00:00-03:00;Brazil
BR;Americana;Americana;-22.7242527, -47.33954929;O3;Sao Paulo CETESB;µg/m³;79;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;PM10;Sao Paulo CETESB;µg/m³;36;2023-04-05T12:00:00-03:00;Brazil
BR;Limeira;Limeira;-22.563603780000005, -47.41431402999999;NO2;Sao Paulo CETESB;µg/m³;23;2023-04-05T12:00:00-03:00;Brazil
BR;Jacareí;Jacareí;-23.29419924, -45.96823386;O3;Sao Paulo CETESB;µg/m³;47;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Pinheiros;-23.56145989, -46.70201651;NO2;Sao Paulo CETESB;µg/m³;43;2023-04-05T12:00:00-03:00;Brazil
BR;Santo André;S.André-Capuava;-23.6398037, -46.49163676999999;O3;Sao Paulo CETESB;µg/m³;74;2023-04-05T12:00:00-03:00;Brazil
BR;São Bernardo do Campo;S.Bernardo-Centro;-23.69867109, -46.54623219;O3;Sao Paulo CETESB;µg/m³;92;2023-04-05T12:00:00-03:00;Brazil
BR;Ribeirão Preto;Ribeirão Preto;-21.15394189, -47.82848053;CO;Sao Paulo CETESB;ppm;0.3;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;CO;Sao Paulo CETESB;ppm;0.5;2023-02-15T21:00:00-03:00;Brazil
BR;Campinas;Campinas-Taquaral;-22.87461894, -47.05897276;O3;Sao Paulo CETESB;µg/m³;90;2023-04-05T12:00:00-03:00;Brazil
BR;Taubaté;Taubaté;-23.03235096, -45.57580502;PM2.5;Sao Paulo CETESB;µg/m³;7;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Pinheiros;-23.56145989, -46.70201651;CO;Sao Paulo CETESB;ppm;0.6;2023-04-05T12:00:00-03:00;Brazil
BR;São Bernardo do Campo;S.Bernardo-Centro;-23.69867109, -46.54623219;CO;Sao Paulo CETESB;ppm;0.3;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Mooca;-23.54973405, -46.60041665;O3;Sao Paulo CETESB;µg/m³;103;2023-04-05T12:00:00-03:00;Brazil
BR;Grajaú-Parelheiros;Grajaú-Parelheiros;-23.77626598, -46.69696108;CO;Sao Paulo CETESB;ppm;0.3;2023-04-05T12:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;SO2;Sao Paulo CETESB;µg/m³;2;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Parque D.Pedro II;-23.54484566, -46.62767559;NO2;Sao Paulo CETESB;µg/m³;31;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia;Paulínia;-22.772321380000005, -47.15484287;SO2;Sao Paulo CETESB;µg/m³;24;2023-04-05T12:00:00-03:00;Brazil
BR;;S.José Campos;-23.18788733, -45.87119762;SO2;Sao Paulo CETESB;µg/m³;1;2023-04-05T12:00:00-03:00;Brazil
BR;;Jundiaí;-23.19200374, -46.89709727;PM2.5;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;Taubaté;Taubaté;-23.03235096, -45.57580502;PM10;Sao Paulo CETESB;µg/m³;12;2023-04-05T12:00:00-03:00;Brazil
BR;Taubaté;Taubaté;-23.03235096, -45.57580502;O3;Sao Paulo CETESB;µg/m³;80;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Cid.Universitária-USP-Ipen;-23.56634178, -46.73741428;PM2.5;Sao Paulo CETESB;µg/m³;22;2023-04-05T12:00:00-03:00;Brazil
BR;;S.José Campos;-23.18788733, -45.87119762;PM10;Sao Paulo CETESB;µg/m³;40;2023-04-05T12:00:00-03:00;Brazil
BR;Ribeirão Preto;Ribeirão Preto;-21.15394189, -47.82848053;PM2.5;Sao Paulo CETESB;µg/m³;12;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Congonhas;-23.61632008, -46.66346553;PM10;Sao Paulo CETESB;µg/m³;52;2023-04-05T12:00:00-03:00;Brazil
BR;;S.José Campos;-23.18788733, -45.87119762;NO2;Sao Paulo CETESB;µg/m³;25;2023-04-05T12:00:00-03:00;Brazil
BR;Santos;Santos-Ponta da Praia;-23.98129516, -46.30050959;NO2;Sao Paulo CETESB;µg/m³;12;2023-04-05T12:00:00-03:00;Brazil
BR;São José do Rio Preto;São José do Rio Preto;-20.78468928, -49.39827779;NO2;Sao Paulo CETESB;µg/m³;9;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Mooca;-23.54973405, -46.60041665;PM2.5;Sao Paulo CETESB;µg/m³;4;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;O3;Sao Paulo CETESB;µg/m³;10;2023-02-15T21:00:00-03:00;Brazil
BR;;Jundiaí;-23.19200374, -46.89709727;PM10;Sao Paulo CETESB;µg/m³;41;2023-04-05T12:00:00-03:00;Brazil
BR;Araçatuba;Araçatuba;-21.1868411, -50.43931685;O3;Sao Paulo CETESB;µg/m³;73;2023-04-05T12:00:00-03:00;Brazil
BR;Araçatuba;Araçatuba;-21.1868411, -50.43931685;PM10;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;Cubatão;Cubatão-V.Parisi;-23.84941617, -46.38867624;SO2;Sao Paulo CETESB;µg/m³;2;2023-04-05T12:00:00-03:00;Brazil
BR;Limeira;Limeira;-22.563603780000005, -47.41431402999999;PM10;Sao Paulo CETESB;µg/m³;71;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Parque D.Pedro II;-23.54484566, -46.62767559;O3;Sao Paulo CETESB;µg/m³;107;2023-04-05T12:00:00-03:00;Brazil
BR;Santa Gertrudes;Santa Gertrudes;-22.45995527, -47.53629834;PM2.5;Sao Paulo CETESB;µg/m³;32;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;NO2;Sao Paulo CETESB;µg/m³;26;2023-04-05T12:00:00-03:00;Brazil
BR;São Caetano do Sul;São Caetano do Sul;-23.61844277, -46.55635394;PM10;Sao Paulo CETESB;µg/m³;31;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;N.Senhora do Ó;-23.48009871, -46.69205192;PM10;Sao Paulo CETESB;µg/m³;42;2023-04-05T12:00:00-03:00;Brazil
BR;Grajaú-Parelheiros;Grajaú-Parelheiros;-23.77626598, -46.69696108;PM2.5;Sao Paulo CETESB;µg/m³;17;2023-04-05T12:00:00-03:00;Brazil
BR;;Jundiaí;-23.19200374, -46.89709727;O3;Sao Paulo CETESB;µg/m³;99;2023-04-05T12:00:00-03:00;Brazil
BR;Guaratinguetá;Guaratinguetá;-22.80191714, -45.19112236;O3;Sao Paulo CETESB;µg/m³;55;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia;Paulínia;-22.772321380000005, -47.15484287;PM10;Sao Paulo CETESB;µg/m³;82;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Congonhas;-23.61632008, -46.66346553;NO2;Sao Paulo CETESB;µg/m³;163;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Mooca;-23.54973405, -46.60041665;CO;Sao Paulo CETESB;ppm;0;2023-04-05T12:00:00-03:00;Brazil
BR;;Cubatão-Centro;-23.87902673, -46.41848336;O3;Sao Paulo CETESB;µg/m³;62;2023-04-04T18:00:00-03:00;Brazil
BR;;Taboão da Serra;-23.60932386, -46.75829437;PM10;Sao Paulo CETESB;µg/m³;31;2023-03-24T17:00:00-03:00;Brazil
BR;Americana;Americana;-22.7242527, -47.33954929;PM10;Sao Paulo CETESB;µg/m³;49;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Congonhas;-23.61632008, -46.66346553;SO2;Sao Paulo CETESB;µg/m³;4;2023-04-05T12:00:00-03:00;Brazil
BR;;Cubatão-Vale do Mogi;-23.83158901, -46.36956879;NO2;Sao Paulo CETESB;µg/m³;23;2023-04-05T12:00:00-03:00;Brazil
BR;Guaratinguetá;Guaratinguetá;-22.80191714, -45.19112236;PM10;Sao Paulo CETESB;µg/m³;16;2023-04-05T12:00:00-03:00;Brazil
BR;Guarulhos;Guarulhos-Paço Municipal;-23.45553426, -46.5185334;PM2.5;Sao Paulo CETESB;µg/m³;42;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia;Paulínia;-22.772321380000005, -47.15484287;NO2;Sao Paulo CETESB;µg/m³;36;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;PM10;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;;S.José Campos;-23.18788733, -45.87119762;O3;Sao Paulo CETESB;µg/m³;43;2023-04-05T12:00:00-03:00;Brazil
BR;São Caetano do Sul;São Caetano do Sul;-23.61844277, -46.55635394;NO2;Sao Paulo CETESB;µg/m³;20;2023-04-05T12:00:00-03:00;Brazil
BR;;Jundiaí;-23.19200374, -46.89709727;NO2;Sao Paulo CETESB;µg/m³;37;2023-04-05T12:00:00-03:00;Brazil
BR;Carapicuíba;Carapicuíba;-23.53139503, -46.83577973;CO;Sao Paulo CETESB;ppm;0.5;2023-04-05T12:00:00-03:00;Brazil
BR;Guaratinguetá;Guaratinguetá;-22.80191714, -45.19112236;NO2;Sao Paulo CETESB;µg/m³;13;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Interlagos;-23.68050765, -46.67504316;PM10;Sao Paulo CETESB;µg/m³;0;2023-01-23T10:00:00-03:00;Brazil
BR;São Paulo;Parque D.Pedro II;-23.54484566, -46.62767559;PM2.5;Sao Paulo CETESB;µg/m³;15;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Pinheiros;-23.56145989, -46.70201651;O3;Sao Paulo CETESB;µg/m³;124;2023-04-05T12:00:00-03:00;Brazil
BR;Pico do Jaraguá;Pico do Jaraguá;-23.4562689, -46.76609776;PM2.5;Sao Paulo CETESB;µg/m³;18;2023-04-05T12:00:00-03:00;Brazil
BR;;Taboão da Serra;-23.60932386, -46.75829437;CO;Sao Paulo CETESB;ppm;0.3;2023-03-30T12:00:00-03:00;Brazil
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;PM2.5;Sao Paulo CETESB;µg/m³;7;2023-02-15T21:00:00-03:00;Brazil
BR;Araraquara;Araraquara;-21.78252215, -48.18583181;NO2;Sao Paulo CETESB;µg/m³;10;2023-04-05T12:00:00-03:00;Brazil
BR;Guarulhos;Guarulhos-Paço Municipal;-23.45553426, -46.5185334;PM10;Sao Paulo CETESB;µg/m³;41;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;SO2;Sao Paulo CETESB;µg/m³;13;2023-04-05T12:00:00-03:00;Brazil
BR;Osasco;Osasco;-23.52672142, -46.79207766;NO2;Sao Paulo CETESB;µg/m³;67;2023-04-04T18:00:00-03:00;Brazil
BR;Osasco;Osasco;-23.52672142, -46.79207766;SO2;Sao Paulo CETESB;µg/m³;65;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;O3;Sao Paulo CETESB;µg/m³;41;2023-04-05T12:00:00-03:00;Brazil
BR;Catanduva;Catanduva;-21.14194276, -48.98307527;NO2;Sao Paulo CETESB;µg/m³;14;2023-04-05T10:00:00-03:00;Brazil
BR;Cubatão;Cubatão-V.Parisi;-23.84941617, -46.38867624;PM10;Sao Paulo CETESB;µg/m³;167;2023-04-05T12:00:00-03:00;Brazil
BR;São Caetano do Sul;São Caetano do Sul;-23.61844277, -46.55635394;CO;Sao Paulo CETESB;ppm;0.3;2023-04-05T12:00:00-03:00;Brazil
BR;Ribeirão Preto;Ribeirão Preto;-21.15394189, -47.82848053;O3;Sao Paulo CETESB;µg/m³;82;2023-04-05T12:00:00-03:00;Brazil
BR;;Cubatão-Vale do Mogi;-23.83158901, -46.36956879;SO2;Sao Paulo CETESB;µg/m³;4;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Interlagos;-23.68050765, -46.67504316;NO2;Sao Paulo CETESB;µg/m³;16;2023-01-11T15:00:00-03:00;Brazil
BR;São Paulo;Pinheiros;-23.56145989, -46.70201651;PM10;Sao Paulo CETESB;µg/m³;0;2023-01-28T06:00:00-03:00;Brazil
BR;Ribeirão Preto;Ribeirão Preto;-21.15394189, -47.82848053;PM10;Sao Paulo CETESB;µg/m³;21;2023-04-05T12:00:00-03:00;Brazil
BR;Campinas;Campinas-Taquaral;-22.87461894, -47.05897276;PM10;Sao Paulo CETESB;µg/m³;24;2023-04-05T12:00:00-03:00;Brazil
BR;Guaratinguetá;Guaratinguetá;-22.80191714, -45.19112236;PM2.5;Sao Paulo CETESB;µg/m³;17;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Interlagos;-23.68050765, -46.67504316;O3;Sao Paulo CETESB;µg/m³;82;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Cid.Universitária-USP-Ipen;-23.56634178, -46.73741428;O3;Sao Paulo CETESB;µg/m³;143;2023-04-05T12:00:00-03:00;Brazil
BR;Santos;Santos-Ponta da Praia;-23.98129516, -46.30050959;PM10;Sao Paulo CETESB;µg/m³;24;2023-04-05T12:00:00-03:00;Brazil
BR;Catanduva;Catanduva;-21.14194276, -48.98307527;PM10;Sao Paulo CETESB;µg/m³;31;2023-04-05T12:00:00-03:00;Brazil
BR;Carapicuíba;Carapicuíba;-23.53139503, -46.83577973;O3;Sao Paulo CETESB;µg/m³;106;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;PM10;Sao Paulo CETESB;µg/m³;37;2023-04-05T12:00:00-03:00;Brazil
BR;Pico do Jaraguá;Pico do Jaraguá;-23.4562689, -46.76609776;NO2;Sao Paulo CETESB;µg/m³;34;2023-04-05T12:00:00-03:00;Brazil
